"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"speed_ms";"impute_temp";"impute_sal";"CO2_CORSE";"CO2_PR";"CO2_LAMP";"impute_pCO2_w";"impute_ta";"impute_dic";"pCO2_atmos_dry";"pCO2_atmos";"impute_pCO2_atmos";"delta_pCO2"
2010-06-08;0;21.47;37.46;2543.40858;2216.4432;0.007;0.074;0.29;NA;NA;NA;NA;0.077954656044343;0.99099856496371;2;6;23;1;0;8.07136478229952;1.23986898632604e-05;403.544120150001;404.89322666796;403.544120150001;404.89322666796;403.544120150001;404.893228739947;0.00197111373720107;0.00023293077293566;3.58166071900881;5.47329736869152;8.12448008290567;2580.07277202349;2248.39406300053;"2010-06";2010;"06";2.1203067;21.47;37.46;NA;391.057;NA;404.89322666796;2543.40858;2216.4432;391.057;379.051993462513;379.051993462513;25.8412332054475
2010-06-15;0;21.38;37.65;2540.40798;2219.4438;0.003;0.131;NA;NA;NA;NA;NA;0.0321509737803593;2.2875904980692;2;6;24;1;0;8.06156141598556;1.27337634407147e-05;413.869250571003;415.254433854528;413.869250571003;415.254433854528;413.869250571003;415.254436038017;0.00197801045286378;0.0002286995836955;3.51052535756579;5.36515362209957;8.11324405471779;2564.02399043825;2240.07607968128;"2010-06";2010;"06";9.512625;21.38;37.65;NA;NA;389.636;415.254433854528;2540.40798;2219.4438;389.636;377.674616551448;377.674616551448;37.5798173030801
2010-06-23;0;21.83;37.52;2540.95809;2218.69365;NA;NA;0.21;NA;NA;NA;NA;NA;NA;2;6;25;1;0;8.05840340338536;1.2705745994628e-05;417.676073393005;419.066245458601;417.676073393005;419.066245458601;417.676073393005;419.066247661578;0.00197598834843794;0.00022999955556742;3.53958525561058;5.40333321564015;8.11694094680265;2573.46501652452;2247.07779051173;"2010-06";2010;"06";2.8051927;21.83;37.52;NA;NA;386.453;419.066245458601;2540.95809;2218.69365;386.453;374.589331042708;374.589331042708;44.4769144158927
2010-06-29;0;23.56;37.26;2539.45779;2216.9433;0.017;0.252;NA;NA;NA;NA;NA;0.0507077442298303;4.25067417495828;2;6;26;1;0;8.03560111015674;1.29321160160545e-05;444.260969668916;445.708506695916;444.260969668916;445.708506695916;444.260969668916;445.708509099714;0.0019729782196128;0.00023103296437113;3.58604230678144;5.4483085977319;8.12035930177655;2589.8925394525;2260.97276972625;"2010-06";2010;"06";1.8191398;23.56;37.26;NA;NA;NA;445.708506695916;2539.45779;2216.9433;NA;NA;374.298152982128;71.4103537137875
2010-07-06;0;24.75;37.62;2545.45899;2217.64344;0.014;0.069;0.19;NA;NA;NA;NA;0.0555880932975001;1.1897802425079;3;7;27;1;0;8.02103382666893;1.30103174759563e-05;461.612068315165;463.094421521212;461.612068315165;463.094421521212;461.612068315165;463.094424052821;0.00196976481357975;0.00023486830894428;3.65326859774841;5.52901238866416;8.12376056893266;2571.1706969697;2240.04387878788;"2010-07";2010;"07";1.0907965;24.75;37.62;NA;NA;NA;463.094421521212;2545.45899;2217.64344;NA;NA;374.006974921549;89.0874465996632
2010-07-13;0;24.62;37.47;2546.35917;2213.4426;0.008;0.076;0.19;NA;NA;NA;NA;0.0341355016814739;1.46099947196708;3;7;28;1;0;8.03245359353164;1.26704316882997e-05;447.727102371671;449.167129099903;447.727102371671;449.167129099903;447.727102371671;449.16713148796;0.00196245913822423;0.00023831303008747;3.70919497821091;5.61656204022182;8.1333306603469;2582.37652682146;2244.75096877502;"2010-07";2010;"07";2.8388834;24.62;37.47;NA;NA;NA;449.167129099903;2546.35917;2213.4426;NA;NA;373.715796860969;75.451332238934
2010-07-20;0;25;38;2559.26175;2220.54402;NA;NA;0.2;NA;NA;NA;NA;NA;NA;3;7;29;1;0;8.02768435427769;1.26925026913787e-05;454.077490734032;455.531193602847;454.077490734032;455.531193602847;454.077490734032;455.531196039756;0.00196568952274965;0.00024216199455896;3.75919785612139;5.68339250482342;8.134303559352;2559.26175;2220.54402;"2010-07";2010;"07";2.677553;25;38;NA;NA;NA;455.531193602847;2559.26175;2220.54402;NA;NA;373.424618800389;82.1065748024578
2010-07-27;0;25.33;38.01;2559.61182;2220.09393;0.005;0.106;0.11;NA;NA;NA;NA;0.0390047540696991;1.23352534745424;3;7;30;1;0;8.02363776062585;1.27221058085535e-05;458.936124242579;460.399491157063;458.936124242579;460.399491157063;458.936124242579;460.399493629353;0.00196461545649347;0.00024275636769797;3.77339603622116;5.69899773464057;8.13523665250325;2558.93841515391;2219.50984846093;"2010-07";2010;"07";1.7937467;25.33;38.01;NA;384.951;NA;460.399491157063;2559.61182;2220.09393;384.951;373.133440739809;373.133440739809;87.2660504172535
2010-08-03;0;25.35;37.98;2564.16273;2226.4452;0.05;0.207;0.18;NA;NA;NA;NA;0.0585087805203523;1.41786278127654;3;8;31;1;0;8.02029224496704;1.28648107435051e-05;464.24346615253;465.72340454469;464.24346615253;465.72340454469;464.24346615253;465.723407073441;0.00197178556147032;0.00024179482778616;3.7596954380103;5.67806820776829;8.13216101587403;2565.513;2227.61763033175;"2010-08";2010;"08";6.133339;25.35;37.98;NA;382.686;385.052;465.72340454469;2564.16273;2226.4452;385.052;373.231340154319;373.231340154319;92.4920643903714
2010-08-10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;8;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-08";2010;"08";3.3801317;23.28;37.945;NA;385.121;383.181;435.930709909247;2558.46159;2225.470005;383.181;371.417777733065;371.417777733065;64.5129321761819
