"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"speed_ms";"impute_temp";"impute_sal";"CO2_CORSE";"CO2_PR";"CO2_LAMP";"impute_pCO2_w";"impute_ta";"impute_dic";"pCO2_atmos_dry";"pCO2_atmos";"impute_pCO2_atmos";"delta_pCO2";"Tmean";"pCO2_w_mean";"NpCO2";"TpCO2";"delta_pCO2_T";"delta_pCO2_bio";"Flux_CO2_2014";"SC";"K600";"k";"rho";"K0";"Flux_wan_92";"K600_M3";"Flux_HO"
2010-01-19;0;13.63;37.87;2547.5094;2250.75006;0.305;0.849;0.39;NA;NA;NA;NA;0.0398644030528357;2.46478687168143;1;1;3;1;0;8.13806425362396;1.30047791185475e-05;338.329449155952;339.577689194737;338.329449155952;339.577689194737;338.329449155952;339.577690913252;0.00202836689038045;0.00020937839050099;3.14219654395821;4.89205215781651;8.07048435573079;2556.25448111962;2258.476426723;"2010-01";2010;"01";NA;13.63;37.87;NA;391.887;NA;339.577689194737;2547.5094;2250.75006;391.887;379.856513403529;379.856513403529;-40.2788242087915;18.8369699466636;411.319858003375;423.247698670398;330.007811830927;-83.6700094756612;9.56987736381018;NA;925.387160645807;NA;NA;1.0284864907085;3.95331818481718e-08;NA;NA;NA
2010-01-25;0;13.07;37.72;2532.65643;2247.04932;0.294;1.215;0.62;NA;NA;NA;NA;0.0690334016179013;2.64563219439872;1;1;4;1;0;8.13175847225327;1.34117926667756e-05;342.608384624264;343.881515431845;342.608384624264;343.881515431845;342.608384624264;343.881517215234;0.00203199223711692;0.0002016452902163;3.02592093760642;4.71679172608831;8.05555741474629;2551.45663679745;2263.72943160127;"2010-01";2010;"01";NA;13.07;37.72;NA;392.614;395.61;343.881515431845;2532.65643;2247.04932;395.61;383.465221524495;383.465221524495;-39.5837060926504;18.8369699466636;411.319858003375;438.886130192922;322.282447238049;-95.0046147610773;21.5990681937959;NA;954.436747954983;NA;NA;1.02848763549251;4.0261311592521e-08;NA;NA;NA
2010-02-02;0;13.22;37.94;2546.65923;2255.60103;0.401;0.159;0.3;NA;NA;NA;NA;0.0943004503070108;2.40806407639656;1;2;5;1;0;8.13417565637463;1.33018004164188e-05;341.816930710266;343.084679511081;341.816930710266;343.084679511081;341.816930710266;343.084681280579;0.0020368876209171;0.00020541160866647;3.07887099957985;4.79725829306613;8.06026884978481;2550.68662994201;2259.16813758566;"2010-02";2010;"02";1.1105752;13.22;37.94;NA;392.322;NA;343.084679511081;2546.65923;2255.60103;392.322;380.278159396712;380.278159396712;-37.1934798856306;18.8369699466636;411.319858003375;435.09966704186;324.333830496944;-92.0149875307791;18.7508490141371;-4.03226786587448e-06;946.538617199688;0.328078355111441;0.4120701182064;1.02862711348886;4.00290077443342e-08;-6.1349744813926e-06;0.176372950304271;-3.29812537909452e-06
2010-02-11;0;13.2;37.92;2544.40878;2251.85028;NA;NA;0.3;NA;NA;NA;NA;NA;NA;1;2;6;1;0;8.13780742855466;1.31691652182227e-05;338.159614258967;339.414115035601;338.159614258967;339.414115035601;338.159614258967;339.414116768173;0.00203226326837767;0.0002064178464041;3.09424682200712;4.82146388431438;8.06356990889274;2549.77673101266;2256.60101898734;"2010-02";2010;"02";7.285122;13.2;37.92;NA;400.574;NA;339.414115035601;2544.40878;2251.85028;400.574;388.276832352451;388.276832352451;-48.8627173168502;18.8369699466636;411.319858003375;430.808970899652;324.059560109076;-91.3948558640506;15.3545549265252;-0.000227949105384331;947.586707008;14.1174186795991;17.7414515437971;1.02861577419106;4.00580391779677e-08;-0.000347261351670426;7.58943936534841;-0.000186685613867936
2010-02-16;0;13.2;37.96;2546.95929;2254.85088;0.308;0.814;0.3;NA;NA;NA;NA;0.0573569080834035;2.38468636489134;1;2;7;1;0;8.13603497110045;1.32408219011787e-05;340.076529568164;341.338144358325;340.076529568164;341.338144358325;340.076529568164;341.338146110596;0.00203552646344823;0.00020608359465059;3.08842312818752;4.81228124011962;8.06180413737867;2549.64312486828;2257.22690832455;"2010-02";2010;"02";9.192372;13.2;37.96;NA;391.881;NA;341.338144358325;2546.95929;2254.85088;391.881;379.850697596726;379.850697596726;-38.512553238401;18.8369699466636;411.319858003375;433.25108823003;324.059560109076;-91.9129438717049;17.2785842492491;-0.000286051423358103;947.586707008;22.4769209943781;28.2468922772529;1.02864680073422;4.00501884238651e-08;-0.000435689956817906;12.0834575270529;-0.000234224300093837
2010-02-23;0;NA;NA;NA;NA;0.283;1.307;0.38;NA;NA;NA;NA;NA;NA;1;2;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-02";2010;"02";2.2102766;13.1126402690914;37.8066666666667;NA;393.329;NA;337.00907428093;2545.49233;2253.16118685359;393.329;381.254245638402;381.254245638402;-44.2451713574725;18.8369699466636;411.319858003375;429.339938250116;322.864267284464;-92.3308639691867;14.1448069964652;-1.89996566260518e-05;952.182747695315;1.29949582450301;1.63704047541954;1.02854603455311;4.01903257990677e-08;-2.9110309680662e-05;0.698601138736581;-1.56495273847168e-05
2010-03-02;0;NA;NA;NA;NA;NA;NA;0.56;NA;NA;NA;NA;NA;NA;1;3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2010-03";2010;"03";0.40485758;12.7416040367032;37.6533333333333;NA;393.381;NA;333.965600075357;2544.02537;2255.07785315582;393.381;381.304649297357;381.304649297357;-47.3390492220002;18.8369699466636;411.319858003375;432.192880775809;317.836524642487;-98.227280700452;16.12907543287;-6.82041341246814e-07;972.033065636499;0.0435999695821994;0.0554946453603325;1.02850333242412;4.06935574601499e-08;-1.06904569591711e-06;0.0234390813919343;-5.74712535774989e-07
2010-03-09;0;12.51;37.5;2542.55841;2250.09993;0.404;0.777;0.76;NA;NA;NA;NA;0.103069612409934;2.71578705151836;1;3;10;1;0;8.15326539687061;1.29515124843314e-05;324.68069046337;325.895883094502;324.68069046337;325.895883094502;324.68069046337;325.895884715358;0.00203091273913107;0.00020623567838459;3.09602641928742;4.83210211108437;8.06817707906441;2576.4591888;2280.1012624;"2010-03";2010;"03";5.5739822;12.51;37.5;NA;NA;NA;325.895883094502;2542.55841;2250.09993;NA;NA;381.035215292651;-55.1393321981493;18.8369699466636;411.319858003375;425.901790980977;314.73793066135;-100.005907886475;11.1579524331523;-0.00015058415490696;984.698702208031;8.26442783253388;10.5873884895951;1.02843114979817;4.10241177474303e-08;-0.000239491222681045;4.44290669192611;-0.000128749040764622
2010-03-16;0;13;37.86;2545.85907;2254.4508;NA;NA;0.34;NA;NA;NA;NA;NA;NA;1;3;11;1;0;8.13951230246074;1.32078380200293e-05;336.927961192965;338.18110018133;336.927961192965;338.18110018133;336.927961192965;338.181101908644;0.00203554574704865;0.00020569721493131;3.08353414127162;4.80685827710209;8.06215692101155;2555.27323454834;2262.78738510301;"2010-03";2010;"03";2.806281;13;37.86;NA;393.245;NA;338.18110018133;2545.85907;2254.4508;393.245;381.172824343167;381.172824343167;-42.9917241618367;18.8369699466636;411.319858003375;432.890747139648;321.329580327428;-94.7096469583177;16.8515198539016;-2.97600593773985e-05;958.152257;2.09480667155563;2.64719288367059;1.02861073836407;4.03223406269759e-08;-4.5889801945586e-05;1.12615546628742;-2.46700814970631e-05
2010-03-23;0;13.27;37.86;2542.70844;2254.10073;0.231;0.475;0.73;NA;NA;NA;NA;0.0758345724986982;3.22977499795738;1;3;12;1;0;8.13072054249595;1.3398707280284e-05;344.687557454134;345.965138310823;344.687557454134;345.965138310823;344.687557454134;345.965140108254;0.00203687416125658;0.00020382786146312;3.05701946672784;4.76295088679144;8.05761723004576;2552.1109540412;2262.43602060222;"2010-03";2010;"03";2.2833843;13.27;37.86;NA;392.54;NA;345.965138310823;2542.70844;2254.10073;392.54;380.48946704387;380.48946704387;-34.524328733047;18.8369699466636;411.319858003375;437.825680923267;325.020522469228;-91.8605426124439;20.9446158415947;-1.58223097906722e-05;943.925085511523;1.38688246715541;1.73953349934444;1.02855462132841;3.99820126805606e-08;-2.40116880441249e-05;0.745579672192568;-1.29085390613153e-05
