"datetime";"Hour";"temp_eol_c";"sal_eol_psu";"oxy_eol_mll";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"NB_OBS_DAY"
"2017-10-12";"04:00:00";20.3074;38.25715;5.32900068837112;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"05:00:00";20.2822;38.25765;5.32901143183596;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"06:00:00";20.26015;38.2579;5.32902217530081;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"07:00:00";20.2427;38.25725;5.33503291876565;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"08:00:00";20.2405;38.25745;5.33204366223049;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"09:00:00";20.27215;38.25835;5.33005440569533;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"11:00:00";20.33095;38.25775;5.33507589262502;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"12:00:00";20.39565;38.25785;5.33508663608986;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"13:00:00";20.5495;38.26195;5.32259737955471;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"14:00:00";20.479;38.25835;5.31310812301955;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"15:00:00";20.4558;38.2593;5.30961886648439;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"16:00:00";20.32215;38.2558;5.34962960994923;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"17:00:00";20.1944;38.25365;5.34714035341408;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"18:00:00";20.24135;38.2554;5.32765109687892;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"19:00:00";20.3326;38.2575;5.29716184034376;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"20:00:00";20.30435;38.2559;5.31267258380861;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"21:00:00";20.33055;38.25765;5.30568332727345;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"22:00:00";20.3455;38.25955;5.30469407073829;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-12";"23:00:00";20.3094;38.2603;5.35370481420313;"2017";"10";"2017-10";"2017-10-12";31;23
"2017-10-13";"00:00:00";20.28855;38.26015;5.36621555766798;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"01:00:00";20.2639;38.25585;5.32672630113282;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"02:00:00";20.265;38.2551;5.32123704459766;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"03:00:00";20.2478;38.2546;5.3277477880625;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"04:00:00";20.2444;38.2548;5.31725853152735;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"05:00:00";20.232;38.25465;5.32426927499219;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"06:00:00";20.2151;38.25375;5.32228001845703;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"07:00:00";20.2086;38.2535;5.32779076192188;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"08:00:00";20.2297;38.2531;5.32980150538672;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"09:00:00";20.27715;38.2547;5.33181224885156;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"11:00:00";20.30255;38.2531;5.33383373578125;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"12:00:00";20.4161;38.25465;5.32684447924609;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"13:00:00";20.4021;38.25595;5.32685522271093;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"14:00:00";20.52535;38.2559;5.32286596617577;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"15:00:00";20.5956;38.2624;5.33187670964062;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"16:00:00";20.5753;38.26375;5.32038745310546;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"17:00:00";20.56115;38.26175;5.3218981965703;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"18:00:00";20.49035;38.26365;5.32290894003515;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"19:00:00";20.4341;38.26185;5.32091968349999;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"20:00:00";20.4532;38.2608;5.33193042696483;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"21:00:00";20.47005;38.2614;5.32944117042967;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"22:00:00";20.4558;38.26155;5.32695191389452;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-13";"23:00:00";20.4368;38.26055;5.32896265735936;"2017";"10";"2017-10";"2017-10-13";31;23
"2017-10-14";"00:00:00";20.4287;38.2603;5.3194734008242;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"01:00:00";20.39475;38.2608;5.32298414428904;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"02:00:00";20.37955;38.26005;5.32349488775389;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"03:00:00";20.36085;38.25935;5.31150563121873;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"04:00:00";20.33445;38.2591;5.31151637468357;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"05:00:00";20.3112;38.25965;5.31952711814842;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"06:00:00";20.2962;38.2587;5.32603786161326;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"07:00:00";20.257;38.2563;5.3310486050781;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"08:00:00";20.2263;38.2527;5.33355934854294;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"09:00:00";20.2877;38.25745;5.31557009200779;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"11:00:00";20.3958;38.2588;5.28809157893747;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"12:00:00";20.5256;38.26305;5.29760232240232;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"13:00:00";20.5677;38.26395;5.30561306586716;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"14:00:00";20.63005;38.26045;5.311123809332;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"15:00:00";20.6397;38.25805;5.33763455279684;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"16:00:00";20.6119;38.26185;5.32714529626169;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"17:00:00";20.5827;38.2664;5.30965603972653;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"18:00:00";20.5056;38.2606;5.30966678319137;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"19:00:00";20.5025;38.2611;5.31567752665621;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"20:00:00";20.4821;38.2613;5.30918827012106;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"21:00:00";20.47305;38.2627;5.3261990135859;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"22:00:00";20.43615;38.26345;5.31970975705074;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-14";"23:00:00";20.40065;38.2632;5.30922050051559;"2017";"10";"2017-10";"2017-10-14";31;23
"2017-10-15";"00:00:00";20.3878;38.26385;5.30923124398043;"2017";"10";"2017-10";"2017-10-15";31;23
"2017-10-15";"01:00:00";20.37195;38.2643;5.30024198744527;"2017";"10";"2017-10";"2017-10-15";31;23
