Sampling date	Depth water [m]	CSC flag	Sal	Temp [°C]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pH	AT [µmol/kg]	DIC [µmol/kg]	Omega Cal	Omega Arg	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]
2007-10-02T00:00:00	1	15	38.14000	21.2500	1954.6	241.6		2549.5	2208.1	5.6	3.7	385.5	384.2
2007-10-02T00:00:00	50	15	37.93000	18.0500	1972.2	228.8		2537.4	2213.0	5.3	3.4	358.2	357.0
2007-10-09T00:00:00	1	15	38.14000	21.3300	1949.4	243.7		2549.3	2204.7	5.7	3.7	381.5	380.3
2007-10-09T00:00:00	50	15	37.86000	15.8700	1997.0	215.7		2531.3	2225.4	5.0	3.2	352.9	351.6
2007-10-16T00:00:00	1	15	38.13000	20.7200	1958.2	239.8		2548.9	2209.9	5.6	3.7	380.8	379.6
2007-10-16T00:00:00	50	15	37.93000	18.2400	1971.5	226.4		2531.0	2210.0	5.2	3.4	364.7	363.5
2007-10-23T00:00:00	1	15	38.10000	19.1700	1957.9	238.8		2546.8	2208.2	5.6	3.6	357.1	355.9
2007-10-23T00:00:00	50	15	38.07000	18.4700	1965.6	233.8		2543.0	2211.2	5.4	3.5	355.7	354.4
2007-10-30T00:00:00	1	15	38.09000	20.7200	1970.4	233.9		2546.4	2216.5	5.5	3.6	395.1	393.8
2007-10-30T00:00:00	50	15	38.08000	18.2400	1966.2	234.2		2544.9	2212.2	5.4	3.5	351.7	350.5
2007-11-06T00:00:00	1	15	38.06000	19.1800	1967.3	234.4		2545.5	2213.6	5.5	3.6	367.2	365.9
2007-11-06T00:00:00	50	15	38.07000	18.4800	1970.7	232.5		2544.8	2215.1	5.4	3.5	359.8	358.5
2007-11-13T00:00:00	1	15	38.07000	17.6400	1976.2	230.3		2545.3	2218.5	5.4	3.5	352.3	351.0
2007-11-13T00:00:00	50	15	38.07000	17.6600	1973.7	232.1		2547.2	2217.6	5.4	3.5	348.5	347.3
2007-11-22T00:00:00	1	15	38.00000	16.6300	1963.5	223.5		2517.4	2199.0	5.2	3.4	342.1	340.9
2007-11-22T00:00:00	50	15	38.03000	16.6400	1983.3	226.9		2544.6	2222.2	5.3	3.4	343.7	342.5
2007-11-27T00:00:00	1	15	38.12000	16.3000	1992.0	224.3		2546.9	2228.5	5.2	3.4	346.7	345.4
2007-11-27T00:00:00	50	15	38.16000	16.2700	1992.1	224.2		2547.0	2228.5	5.2	3.4	346.1	344.9
2007-12-04T00:00:00	1												
2007-12-04T00:00:00	50												
2007-12-11T00:00:00	1												
2007-12-11T00:00:00	50												
2007-12-18T00:00:00	1	15	38.10000	15.7800	2007.8	220.1		2552.3	2240.4	5.1	3.3	350.5	349.2
2007-12-18T00:00:00	50	15	38.13000	15.7800	2029.1	212.0		2553.8	2254.4	4.9	3.2	371.3	369.9
2007-12-25T00:00:00	1												
2007-12-25T00:00:00	50												
2008-01-04T00:00:00	1		38.10000					2556.9					
2008-01-04T00:00:00	50		38.10000					2557.0					
2008-01-08T00:00:00	1		38.00000					2551.5	2249.1				
2008-01-08T00:00:00	50		38.00000					2550.8	2246.8				
2008-01-18T00:00:00	1	15	37.98000	13.7400	2019.5	212.3		2546.0	2244.5	5.0	3.2	334.4	333.2
2008-01-18T00:00:00	50	15	38.07000	13.9400	2016.9	214.0		2547.8	2243.5	4.9	3.2	334.1	332.8
2008-01-22T00:00:00	1	15	37.97000	13.7300	2017.5	213.8		2547.5	2243.8	5.0	3.2	331.2	330.0
2008-01-22T00:00:00	50	15	38.06000	13.9400	2017.6	214.3		2549.2	2244.5	5.0	3.2	333.7	332.5
2008-01-29T00:00:00	1	15	38.04000	13.7700	2023.1	212.7		2550.4	2248.5	5.0	3.2	335.9	334.7
2008-01-29T00:00:00	50	15	38.08000	13.8300	2020.5	213.7		2550.5	2246.8	4.9	3.2	334.1	332.9
2008-02-05T00:00:00	1	15	38.03000	13.6200	2020.4	212.3		2547.1	2245.4	5.0	3.2	333.2	332.0
2008-02-05T00:00:00	50	15	38.06000	13.7200	2020.5	212.8		2548.5	2246.0	4.9	3.2	333.7	332.5
2008-02-12T00:00:00	1	15	38.04000	13.5800	2019.5	213.3		2548.7	2245.5	5.0	3.2	330.8	329.6
2008-02-12T00:00:00	50	15	38.04000	13.6000	2020.1	212.9		2548.3	2245.6	4.9	3.2	331.4	330.2
2008-02-19T00:00:00	1	15	38.11000	13.4500	2026.6	211.2		2550.8	2250.8	4.9	3.2	334.9	333.7
2008-02-19T00:00:00	50	15	38.11000	13.4500	2031.4	209.4		2551.2	2253.9	4.8	3.1	338.9	337.7
2008-02-26T00:00:00	1	15	38.09000	13.4900	2022.5	214.2		2553.7	2249.3	5.0	3.2	329.5	328.2
2008-02-26T00:00:00	50	15	38.12000	13.4500	2029.5	209.9		2550.5	2252.4	4.9	3.1	337.6	336.3
2008-03-03T00:00:00	1	15	38.09000	13.7300	2032.6	210.2		2553.8	2255.9	4.9	3.2	342.8	341.5
2008-03-03T00:00:00	50	15	38.08000	13.6100	2033.1	209.4		2552.6	2255.6	4.8	3.1	341.8	340.5
2008-03-12T00:00:00	1	15	38.04000	13.3900	2034.4	207.1		2548.2	2254.7	4.8	3.1	342.9	341.6
2008-03-12T00:00:00	50	15	38.09000	13.3800	2043.7	203.7		2549.6	2261.0	4.7	3.0	351.3	350.0
2008-03-18T00:00:00	1	15	38.09000	13.6600	2035.3	208.0		2551.2	2256.6	4.9	3.1	346.2	344.9
2008-03-18T00:00:00	50	15	38.09000	13.5000	2039.3	206.0		2550.7	2258.7	4.8	3.1	347.8	346.6
2008-03-26T00:00:00	1	15	38.08000	13.4900	2038.3	207.7		2553.5	2259.3	4.8	3.1	345.0	343.7
2008-03-26T00:00:00	50	15	38.08000	13.4300	2037.0	207.7		2552.3	2257.9	4.8	3.1	343.1	341.8
2008-04-01T00:00:00	1	15	38.07000	13.6900	2034.3	209.8		2554.3	2257.2	4.9	3.1	343.3	342.1
2008-04-01T00:00:00	50	15	38.07000	13.5600	2035.6	209.3		2554.7	2258.0	4.8	3.1	342.0	340.7
