"sampling_date";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month"
2007-06-12;50;14.81;37.98;2551.26015;2245.49901;0.103;0.596;0.493;NA;NA;NA;NA;0;1.09694079195417;2;6;24;1;5;8.1310290026956;1.27078654009142e-05;342.972073775752;344.218540302879;342.892530071327;344.138828898887;345.293369821491;352.807846561017;0.00201714159587235;0.00021564954872673;3.2160145551062;4.99132205802936;8.0817635386631;2552.60362559242;2246.68147393365;"2007-06";2007;6
2007-06-19;0;21.69;37.61;2519.75385;2199.13974;NA;NA;0.154;NA;NA;NA;NA;NA;NA;2;6;25;1;0;8.05984727051779;1.25807388214663e-05;412.221145235765;413.595528958116;412.221145235765;413.595528958116;412.221145235765;413.595531110226;0.00195857386375761;0.00022798513742092;3.50445707360907;5.35143430576928;NA;2545.88264557299;2221.94390109014;"2007-06";2007;6
2007-06-19;50;16.02;37.89;2533.60662;2219.39379;NA;NA;0.199;NA;NA;NA;NA;NA;NA;2;6;25;1;5;8.12943574081289;1.22169991326432e-05;341.723580892874;342.946578116512;341.641924953917;342.864754661599;344.026716527197;351.398489152744;0.0019860162697174;0.00022116052114995;3.30986604488565;5.12348597176058;NA;2540.96203642122;2225.8370023753;"2007-06";2007;6
2007-06-27;0;19.73;37.75;2523.55461;2205.39099;0;0.218;0.192;NA;NA;NA;NA;0;1.28343314075455;2;6;26;1;0;8.08352344785479;1.24604261434053e-05;387.352222423347;388.675460843165;387.352222423347;388.675460843165;387.352222423347;388.675462823213;0.00196749776726218;0.0002254327965944;3.43883541963904;5.27857551954209;8.11003964161459;2540.26689218543;2219.99622834437;"2007-06";2007;6
2007-06-27;50;15;38;2543.0085;2238.39759;0.012;0.254;0.307;NA;NA;NA;NA;0.162405986504097;1.37218471231904;2;6;26;1;5;8.1268113386213;1.27348744713008e-05;345.719343224141;346.972764637943;345.638747905702;346.892000128701;348.057685198606;355.613893320154;0.00201108659710696;0.00021457611842173;3.20096860003052;4.96586877171312;8.08050798407554;2543.0085;2238.39759;"2007-06";2007;6
2007-07-03;0;22.71;37.77;2525.10492;2200.59003;0;0.125;0.275;NA;NA;NA;NA;0.0136436212095434;2.39640461101908;3;7;27;1;0;8.04774289809836;1.26457145585852e-05;426.059820734109;427.462602153282;426.059820734109;427.462602153282;426.059820734109;427.462604403761;0.00195704506787831;0.0002308992475631;3.55825099992847;5.4172755678629;8.11962771388776;2540.48151866561;2213.99049880858;"2007-07";2007;7
2007-07-03;50;15.69;37.95;2540.85807;2236.09713;0;0.154;0.397;NA;NA;NA;NA;0.0817048182285823;2.62719897661191;3;7;27;1;5;8.11731970196381;1.27953145342517e-05;354.524693297581;355.798838943106;354.440617751367;355.714589619559;356.916844479105;364.597265429558;0.00200826822789217;0.00021503358757357;3.21418894609141;4.9789184883402;8.08171201557588;2544.20570909091;2239.04323952569;"2007-07";2007;7
2007-07-10;0;22.1;37.81;2522.90448;2204.79087;NA;NA;0.231;NA;NA;NA;NA;NA;NA;3;7;28;1;0;8.04692954108531;1.28796655885481e-05;427.105287518681;428.522126591342;427.105287518681;428.522126591342;427.105287518681;428.522128881927;0.00196544379874278;0.00022646740566866;3.4810087861564;5.3087578853;NA;2535.5823919598;2215.87022110553;"2007-07";2007;7
2007-07-10;50;14.62;38.01;2539.40778;2250.90009;0.023;0.762;0.41;NA;NA;NA;NA;0.0544545858251353;1.43623970113794;3;7;28;1;5;8.10660252678767;1.36080333223486e-05;365.217750233268;366.548312017556;365.133460585351;366.463843896303;367.691246534813;375.71291443285;0.00203318077640711;0.00020411128027053;3.04201412731429;4.72312163754023;8.05453837770352;2538.73969060773;2250.30790370955;"2007-07";2007;7
2007-07-17;0;22.9;37.88;2525.0049;2203.49061;NA;NA;0.205;NA;NA;NA;NA;NA;NA;3;7;29;1;0;8.03908399886156;1.28715657963937e-05;436.086033425545;437.518488729281;436.086033425545;437.518488729281;436.086033425545;437.518491077582;0.00196160691270575;0.00022901213149785;3.52869478647512;5.36892339693132;NA;2533.00385955649;2210.47104487856;"2007-07";2007;7
2007-07-17;50;15.18;37.93;2536.55721;2239.54782;NA;NA;0.577;NA;NA;NA;NA;NA;NA;3;7;29;1;5;8.1135775005405;1.31155571700785e-05;357.850057724135;359.144511822551;357.766284563761;359.060563495011;360.268932106078;368.072313201994;0.00201659349614661;0.00020983876668331;3.13311452157394;4.8588809574884;NA;2541.23843870287;2243.68091642499;"2007-07";2007;7
2007-07-24;0;22.59;37.95;2535.25695;2207.84148;0.032;0;0.167;NA;NA;NA;NA;0;1.51224001864855;3;7;30;1;0;8.05060941234603;1.26122384877311e-05;423.999533050082;425.397592234712;423.999533050082;425.397592234712;423.999533050082;425.397594469078;0.00196231282205901;0.00023291641945325;3.58272096508184;5.45574749565839;8.12069134712292;2538.59720948617;2210.75036205534;"2007-07";2007;7
2007-07-24;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-07";2007;7
2007-07-31;0;24.8;37.95;2535.45699;2202.09033;0;0.144;0.147;NA;NA;NA;NA;0.0273001855788343;1.24313345046478;3;7;31;1;0;8.02640336822919;1.2692555778521e-05;451.682331529655;453.131896052668;451.682331529655;453.131896052668;451.682331529655;453.131898474005;0.00195167828726922;0.00023771948695225;3.68863929702969;5.58033286244202;8.12993878763443;2538.79751304348;2204.99163478261;"2007-07";2007;7
2007-07-31;50;16.67;37.9;2533.65663;2212.09233;0;0.141;0.282;NA;NA;NA;NA;0;0.620730180172979;3;7;31;1;5;8.13092577489012;1.19225402690845e-05;339.954701348485;341.161407280532;339.872238278418;341.078777538638;342.240759247687;349.513698260222;0.00197400264233466;0.00022616714739625;3.39028013382402;5.24007908845731;8.11040652280412;2540.34173984169;2217.92898522427;"2007-07";2007;7
2007-08-07;0;25.1;37.89;2539.80786;2205.04092;0;0.147;0.25;NA;NA;NA;NA;0;1.49196039547323;3;8;32;1;0;8.02414100904225;1.2700534007626e-05;455.245932246976;456.701601340529;455.245932246976;456.701601340529;455.245932246976;456.7016037849;0.00195334099327098;0.00023899939272139;3.71499059694653;5.61525191224317;8.13222203763487;2547.18127949327;2211.44246397466;"2007-08";2007;8
2007-08-07;50;16.13;37.9;2533.25655;2222.4444;0;1.158;0.429;NA;NA;NA;NA;0.0272386787215813;1.14207888639773;3;8;32;1;5;8.12210358798565;1.24242804907287e-05;348.674518773603;349.920666050778;348.590979814104;349.836956139252;351.023605480557;358.53480720979;0.001991046102707;0.00021897401680226;3.27783373970006;5.07260030578044;8.0932730887898;2539.94060422164;2228.30836939314;"2007-08";2007;8
2007-08-14;0;23.45;37.97;2543.0085;2206.59123;NA;NA;0.192;NA;NA;NA;NA;NA;NA;3;8;33;1;0;8.05018679505916;1.23587021498898e-05;424.94256092938;426.328992327091;424.94256092938;426.328992327091;424.94256092938;426.328994531431;0.001954827681155;0.0002394048466951;3.69402206213381;5.61111124778408;NA;2545.01772451936;2208.33465209376;"2007-08";2007;8
2007-08-14;50;15.17;37.92;2536.25715;2232.9465;NA;NA;0.192;NA;NA;NA;NA;NA;NA;3;8;33;1;5;8.12424151829558;1.27363641798023e-05;347.380064230645;348.636790208558;347.298768630409;348.555324587748;349.728248789858;357.304202033923;0.00200637287828096;0.00021383725753923;3.19295846867869;4.95182496436439;NA;2541.60790348101;2237.65735759494;"2007-08";2007;8
2007-08-22;0;23.45;38.07;2549.75985;2212.9425;0.047;0;0.128;NA;NA;NA;NA;0.0545738931087641;0.994999015429432;3;8;34;1;0;8.04853579337944;1.24355013076518e-05;427.808556050846;429.204342724786;427.808556050846;429.204342724786;427.808556050846;429.204344958961;0.00196077350350225;0.00023973349519009;3.69615489507248;5.61399333233604;8.13173456211552;2545.07156028369;2208.87352245863;"2007-08";2007;8
2007-08-22;50;15.45;37.86;2533.90668;2226.84528;0.023;0;0.307;NA;NA;NA;NA;0.0272353152139534;1.10497564582325;3;8;34;1;5;8.12692996652629;1.2528080282964e-05;344.467522785745;345.709284452911;344.386365384445;345.627958383435;346.793752721806;354.279209667232;0.00199801369770681;0.00021630350201022;3.23327029438186;5.01142230379719;8.08758485394563;2543.27664659271;2235.0797844691;"2007-08";2007;8
2007-08-28;0;24.09;38;2545.10892;2207.39139;NA;NA;0.249;NA;NA;NA;NA;NA;NA;3;8;35;1;0;8.04186412180987;1.24334953028471e-05;434.674666384701;436.081782791125;434.674666384701;436.081782791125;434.674666384701;436.081785066986;0.00195438462937114;0.000240573265326;3.72057547263138;5.64058829205112;NA;2545.10892;2207.39139;"2007-08";2007;8
2007-08-28;50;15.35;37.86;2535.60702;2234.59683;NA;NA;0.367;NA;NA;NA;NA;NA;NA;3;8;35;1;5;8.1184790423606;1.28757224186461e-05;352.966831890506;354.240860849068;352.883881694736;354.157737864016;355.351287664778;363.031360555599;0.00200921306897154;0.0002125080386098;3.1757694097871;4.9233889000425;NA;2544.98327416799;2242.85999841521;"2007-08";2007;8
2007-09-04;0;NA;38.06;2544.75885;2211.34218;NA;NA;0.174;NA;NA;NA;NA;NA;NA;3;9;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2540.74714398318;2207.85609143458;"2007-09";2007;9
2007-09-04;50;NA;37.86;2531.70624;2226.59523;NA;NA;0.523;NA;NA;NA;NA;NA;NA;3;9;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2541.06806973059;2234.82880982567;"2007-09";2007;9
2007-09-11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-09";2007;9
